iso_2,iso_3,country,variable,reduced_rate,reduced_base
AU,AUS,Australia,reduced_rate_1,0,"Most food and beverages for human consumption (excl. prepared food); most health and medical supplies; some education courses and students accommodation; some child care services; some religious services; some activities of charitable institutions; water (except supplied in, or transferred to, a container less than 100L); sewerage and drainage; sales of businesses as going concerns; precious metals (first supply after refinement); grants of freehold and similar interests by governments; farm land; cars for use by disabled people subject to a (general) threshold of AUD 57,466; supplies of accommodation and meals to residents of retirement villages by certain operators; certain government services; some telecommunication supplies made under arrangements for global roaming in Australia; international mail; certain menstrual products."
AT,AUT,Austria,reduced_rate_1,10,"Food; water supply; pharmaceuticals; passenger transport (except domestic flights); books; newspapers and periodicals; e-books and e-publications; pay television; some supplies of artists, writers and composers; forestry; restaurants (except beverages); collection of domestic waste and street cleaning; sewage."
AT,AUT,Austria,reduced_rate_2,13,"Hotel accommodation, supply of wine by producing farmers; agricultural supplies; some supplies of artists, writers and composers; admission to cultural, sporting events and cinemas; domestic flights."
BE,BEL,Belgium,reduced_rate_1,0,"Cars for disabled persons; certain newspapers and periodicals, certain recovered materials and by products."
BE,BEL,Belgium,reduced_rate_2,6,"Food; some beverages; water supply; pharmaceuticals; feminine hygiene products and external defibrillators; equipment for the disabled; passenger transport; books; newspapers and periodicals; certain electronic publications and e-books; culture; sport; works of art, collectors’ items and antiques; works of art delivered by their authors/creators; agriculture; hotel accommodation and camping sites; renovation of dwellings over 10 years old; private homes and establishments for disabled; subsidized social housing; some labor intensive services (small repair services); reconstruction subsequent to demolition works leading to the construction of new private housing (under strict conditions and specific limitations as to the amount); funeral services; cut flowers and plants."
BE,BEL,Belgium,reduced_rate_3,12,"Restaurants (except beverages); certain energy products (coal, coke; lignite); certain social housing."
CA,CAN,Canada,reduced_rate_1,0,"Prescription medicine, basic groceries; certain financial services provided by financial institutions (usually to non-residents); certain agricultural and fishing products; certain medical devices; international bridge or tunnel authorities (on certain purchases only); precious metals; sales of 25 cents or less made through mechanical coin-operated devices."
CO,COL,Colombia,reduced_rate_1,0,"Food for human consumption; some health products such as medicines, antibiotics and blood, medical consultations, diagnostic images, books and newspapers; personal hygiene products."
CO,COL,Colombia,reduced_rate_2,5,Certain agricultural products; agricultural equipment; some electric or hybrid vehicles; agricultural and health insurances; safety and cleaning services; wine and liquors; some food products; aviation fuels.
CZ,CZE,Czech Republic,reduced_rate_1,10,Essential child nutrition; gluten-free products; certain pharmaceutical products; certain printed books; hairdressing and clothing repair.
CZ,CZE,Czech Republic,reduced_rate_2,15,Food; pharmaceutical products and printed books (when not subject to the lower rate of 10%) some beverages; water supply; medical services (if not exempt); equipment and repair for the disabled; passenger transport; art; cultural services; newspapers and periodicals; construction of private dwellings and social housing; renovation and repair of private dwellings; collection and treatment of waste and waste water; hotel accommodation; health care and domestic care services; cleaning in households; funeral services; sport activities; agricultural products; cut flowers and plants; heating.
DK,DNK,Denmark,reduced_rate_1,0,Newspapers and periodicals.
DK,DNK,Denmark,reduced_rate_2,5,"First time sale of products of artistic work valued over DKK 300,000 (the standard rate of 25% applies to 20% of the tax base resulting in an effective rate of 5%)."
EE,EST,Estonia,reduced_rate_1,0,Certain commercial aircraft and sea-going vessels and certain supplies of goods and services related to them; international transport of passengers.
EE,EST,Estonia,reduced_rate_2,9,Pharmaceuticals; medical equipment or devices for disabled; books; newspapers and periodicals; hotel accommodation.
FI,FIN,Finland,reduced_rate_1,0,Printing services for certain membership publications; certain vessels.
FI,FIN,Finland,reduced_rate_2,10,"Pharmaceuticals; passenger transport; books, subscribed newspapers and periodicals; certain electronic publications and e-books; hotel accommodation; admission to cultural, entertainment and sporting events and cinema performances; use of sports facilities; works of art supplied by their creators or imported; copyrights to literary and artistic works; TV license fees; supply of services by athletes and performing artists, provided that they have opted for VAT liability."
FI,FIN,Finland,reduced_rate_3,14,Food; non-alcoholic drinks; animal food; restaurants (except alcoholic beverages).
FR,FRA,France,reduced_rate_1,2.1,Newspapers and periodicals; pharmaceuticals.
FR,FRA,France,reduced_rate_2,5.5,Most food products and beverages (except alcoholic beverages); water supply; equipment for the disabled; books and e-books; admission to cultural services; work on dwellings over 2 years old under certain conditions; domestic care services; subscription fees to natural gas and electricity networks; district heating; supplies of works of art by their creators; women's sanitary products; some social housing.
FR,FRA,France,reduced_rate_3,10,"Passenger transport; social housing; admission to exhibitions, sites and facilities of a cultural, recreational, educational or professional nature; pay TV; domestic care services; restaurant services and catering (except alcoholic beverages); hotel accommodation; farm products; gardens, plants and flowers; treatment of waste; sewage; passenger transport; author's rights."
DE,DEU,Germany,reduced_rate_1,7,Food; water supply; equipment for the disabled; medical services (if not exempt); books and newspapers; certain electronic publications and e-books; plants; flowers; certain cultural events; museums; zoos; circuses; charitable work (if not exempt); author's rights; local public passenger transport within a municipality or if the distance covered is not more than 50 km; long-distance rail travel; hotel accommodation; cut flowers and plants; works of art supplied by their creator or successors in title and importation of collector’s items; feminine hygiene products; long-distance travel by rail.
GR,GRC,Greece,reduced_rate_1,6,"Pharmaceutical drugs and vaccines for human medicine; books; children’s picture books; newspapers, journals and periodicals; admission to theatres (theatrical plays) and concerts, supply of natural gas and electricity and district heating."
GR,GRC,Greece,reduced_rate_2,13,"Basic food goods (meat and abattoir by-products; meat preparations; fish, squid, octopus and cuttlefish excluding livers, eggs and semen; milk and dairy products; birds’ eggs; natural honey; vegetables, plants, some types of roots and tubers; animal food falling within CN code 230990, oil cake, seeds for sowing; fruit and nuts; cereal; flour and flour products; olive oil; pasta not baked or stuffed or otherwise processed; bread; fruit and vegetable juices excluding the undermentioned subject to the standard rate: most types of processed food, farm supplies that are usually intended to be used as intermediate inputs by farmers and farm industries (excluding capital goods such as machinery or buildings); live plants and their roots, cuttings and slips; pharmaceutical products (besides those subject to 6%); medical equipment and other appliances for the disabled persons; intrauterine contraceptives; catheters; feeding syringes; sphygmomanometers; needles for insulin pens and dialysis needles; water supply; accommodation provided in hotels and similar establishments, including the provision of holiday accommodation and the letting of places on camping or caravan sites; services provided by restaurants and similar businesses, excluding nightclubs, and with the exception of the disposal of alcoholic and non-alcoholic beverages, juices and beverages; domestic care services such as home help and care of young, elderly, sick or disabled; services by retirement homes and establishments for disabled and mentally retarded persons or persons suffering from mental disorders or substance abuse insofar as those transactions are subject to VAT and not exempt as welfare or social security work; the provision of services for farming production(excluding capital goods such as machinery or buildings); infant food and other baby products, such as diapers and car seats; bicycle helmets."
HU,HUN,Hungary,reduced_rate_1,5,"Pharmaceuticals for humans; certain equipment for the blind; books, newspapers and sheet music; live pigs and carcasses of pig; certain live cattle, sheep, lamb, goat, and their meat in bulk; meat of domestic pig; meat and edible offal of poultry; fresh eggs; fresh milk; edible offal and inner parts of domestic swine; live fish (excluding ornamental fish) and the body/parts/fillet of fish for human consumption; district heating; services supplied by performing artists; internet access services; restaurant meals and supply of non-alcoholic beverages prepared on site; provision of accommodation."
HU,HUN,Hungary,reduced_rate_2,18,"Milk and dairy products; products containing cereals, flour, starch or milk; certain open-air concerts."
IS,ISL,Iceland,reduced_rate_1,0,Shipbuilding and maintenance of ships and aircraft; services to foreign fishing vessels related to landing and sale of fish in Iceland; direct payments to farmers.
IS,ISL,Iceland,reduced_rate_2,11,"Food and beverages; passenger transport (if not exempted); services of travel agencies, travel organizers and touring associations; travel guidance; books including music books and ebooks; audio recordings of books. CD’s and similar media with text as well as electronic version of such books; magazines, newspapers and countryside- and district newspapers with text as well as electronic version of such papers and magazines; periodicals with text as well as electronic version of such periodicals; subscriptions to radio and TV; rental of hotels, guestrooms and other guest services; hot water, electricity and fuel oil used for the heating of houses and swimming pools; admission tolls to land transportation projects; CD disks, records, magnetic tapes and other similar means of music recordings, other than visual records. Electronic version of music other than visual; condoms; diapers for children; admission fees to bathhouses, bathings, saunas and spas (if not exempted); contraceptive products and feminine hygiene products."
IE,IRL,Ireland,reduced_rate_1,0,Books; children's clothing and footwear; oral medicine; certain medical equipment; certain food products; seeds for food production; fertilizers; certain aircraft and sea-going vessels.
IE,IRL,Ireland,reduced_rate_2,4.8,Livestock and horses for food or agricultural production.
IE,IRL,Ireland,reduced_rate_3,9,"Newspapers and certain periodicals, e-books; certain electronic publications; provision of sporting facilities."
IE,IRL,Ireland,reduced_rate_4,13.5,Waste disposal; energy for heating and light; fuel for certain purposes; gas; electricity; building services; immovable goods; repair services; tour guide services; photographic prints; works of art; short-term car and boat hire; driving instruction; veterinary services; certain plants and flowers; seeds for plants and flowers; medical services (if not exempt); admission to cinemas/certain musical performances; holiday accommodation; restaurant/hotel meals; certain agricultural services; hairdressing.
IL,ISR,Israel,reduced_rate_1,0,"Hotel accommodation for foreign tourists and another hotel services (serving food and beverage, laundry, pool, gym, etc.); sale of, to a foreign tourist, tickets for an international conference in which more than 50 foreign tourists are in attendance; rental of a private motor vehicle to a tourist to drive himself; transportation of tourists in a private motor vehicle, a bus or an airplane; hospitalization of a foreign tourist; sale of fruits and vegetables; sale of dealer's/dealers' assets to a company in exchange for the company's stock only, provided that the dealer/dealers owns 90%, or more, of the voting power immediately after the assets transfer; sale of all of the company's assets to its shareholders in a liquidation process, in which, the assets are divided amongst the said shareholders in proportion to the shares respectively held by them; supplies of goods to who would be exempted from sales tax due to entry to Israel (supplies of certain goods to new immigrants and to students returning from study abroad); sale of a real estate by a non-profit organization or by a financial institution to a non-profit organization or to a financial institution as part of restructuring; renting exhibition space by non-resident; services given by an Israeli production company to a non-resident for film production in Israel; services given to a non-resident in respect of human clinical trials; an Eilat resident dealer buys goods from an Eilat non-resident."
IT,ITA,Italy,reduced_rate_1,4,"Certain food; medications and health products/services and equipment for the disabled; supply of services for certain residential housing constructions; books; newspapers; weekly magazines; supply of food by schools, canteens and “soup kitchens”."
IT,ITA,Italy,reduced_rate_2,5,"Aromatic herbs, fresh or chilled truffles, social and health service for the elderly, drug addicts, migrants, prisoners, handicapped, AIDS patients, transport services on urban waterways (see, river, lake or lagoon); compostable feminine hygiene products."
